,title
0,Registration
1,Training: Apache Spark Certification Prep Course
2,Training: Apache Spark Programming+Delta
3,Training: Apache Spark Tuning and Best Practices
4,Training: Building Data Pipelines for Apache Spark with Databricks Delta
5,Training: Data Science With Apache Spark 2.x
6,Training: Machine Learning in Production: MLflow and Model Deployment
7,"Training: Understand and Apply Deep Learning with Keras, TensorFlow and Apache Spark"
8,Lunch
9,Training: Apache Spark Certification Exam
10,Training: Apache Spark Programming+Delta
11,Training: Apache Spark Tuning and Best Practices
12,Training: Building Data Pipelines for Apache Spark with Databricks Delta
13,Training: Data Science With Apache Spark 2.x
14,Training: Machine Learning in Production: MLflow and Model Deployment
15,"Training: Understand and Apply Deep Learning with Keras, TensorFlow and Apache Spark"
16,Meetup
17,Registration
18,Keynote A
19,Keynote B
20,Keynote C
21,Keynote D - New Golden Age For Computer Architecture
22,Break
23,Accelerate Your Apache Spark with Intel Optane DC Persistent Memory
24,Building Robust Production Data Pipelines with Databricks Delta
25,Cooperative Task Execution for Apache Spark
26,Deploying Enterprise Scale Deep Learning in Actuarial Modeling at Nationwide
27,ETL Made Easy with Azure Data Factory and Azure Databricks
28,Great Models with Great Privacy: Optimizing ML and AI Over Sensitive Data
29,Horizon: Deep Reinforcement Learning at Scale
30,Improving Apache Spark's Reliability with DataSourceV2
31,Lessons Learned Using Apache Spark for Self-Service Data Prep in SaaS World
32,Predicting Influence and Communities Using Graph Algorithms
33,Supporting Over a Thousand Custom Hive User Defined Functions
34,The Pursuit of Happiness: Building a Scalable Pipeline Using Apache Spark and NLP to Measure Customer Service Quality
35,Using Spark Mllib Models in a Production Training and Serving Platform: Experiences and Extensions
36,A Journey to Building an Autonomous Streaming Data Platform—Scaling to Trillion Events Monthly at Nvidia
37,An Apache Spark-Based Intelligent Data Assistant for Real-Time Data Exploration in Natural Language
38,Apache Spark on K8S Best Practice and Performance in the Cloud
39,Building Robust Production Data Pipelines with Databricks Delta
40,Deep Learning on Apache Spark at CERN’s Large Hadron Collider with Intel Technologies
41,Elastify Cloud-Native Spark Application with Persistent Memory
42,Geospatial Analytics at Scale with Deep Learning and Apache Spark
43,Great Models with Great Privacy: Optimizing ML and AI Over Sensitive Data (continues)
44,Improving Call Center Operations and Marketing ROI with Real-Time AI/ML Streams
45,Large-Scale Malicious Domain Detection with Spark AI
46,Migrating to Apache Spark at Netflix
47,Smart Join Algorithms for Fighting Skew at Scale
48,The More the Merrier: Scaling Model Building Infrastructure at Zendesk
49,
50,Lunch
51,Apache Arrow-Based Unified Data Sharing and Transferring Format Among CPU and Accelerators
52,"Apache Spark and Sights at Speed: Streaming, Feature Management, and Execution"
53,Data-Driven Transformation: Leveraging Big Data at Showtime with Apache Spark
54,Deep Learning and Modern NLP
55,In-Memory Storage Evolution in Apache Spark
56,Lifecycle Inference on Unreliable Event Data
57,"Moving a Fraud-Fighting Random Forest from scikit-learn to Spark with MLlib, MLflow, and Jupyter"
58,Productizing Structured Streaming Jobs
59,Scaling Apache Spark at Facebook
60,Smartsheet’s Transition to Snowflake and Databricks: The Why and Immediate Impact
61,SparkML: Easy ML Productization for Real-Time Bidding
62,Threat Detection in Surveillance Videos
63,Vectorized Query Execution in Apache Spark at Facebook
64,A Distributed Deep Learning Approach for the Mitosis Detection from Big Medical Images
65,Apache Spark Data Governance Best Practices—Lessons Learned from Centers for Medicare and Medicaid Services
66,Best Practices for Hyperparameter Tuning with MLflow
67,Build Production Data Pipelines at Scale with Accelerated Spark On Premises
68,Building an Enterprise Data Platform with Azure Databricks to Enable Machine Learning and Data Science at Scale at Sam’s Club
69,Deep Learning and Modern NLP (continues)
